Pais,Kg/Hab*Año,Orden
UE - 27 Paises,513,1
Austria,803,2
Dinamarca,802,3
Noruega,768,4
Luxemburgo,721,5
Bélgica,690,6
Suiza,677,7
Chipre,673,8
Irlanda,644,9
Malta,618,10
Alemania,606,11
Islandia,595,12
República Checa,570,13
Montenegro,537,14
Francia,535,15
Finlandia,522,16
Portugal,510,17
Grecia,509,18
Eslovenia,487,19
Italia,486,20
Croacia,478,21
Eslovaquia,478,22
Cataluña,477,23
Bulgaria,475,24
Países Bajos,473,25
Serbia,473,26
España,467,27
Macedonia del Norte,467,28
Lituania,465,29
Letonia,464,30
Hungría,406,31
Suecia,395,32
Turquía,382,33
Estonia,373,34
Polonia,364,35
Bosnia y Herzegovina,343,36
Rumanía,303,37
Albania,295,38
Kosovo*,270,39